time,E_hw_wet_well
0.03125,129070.30898702
0.09375,131969.98184232
0.21875,133825.98774872
0.46875,134628.0008627
0.96875,134615.27146664
1.96875,134120.88415067
2.46875,133859.44626
3.46875,133491.11417589
4.46875,133268.10448248
5.46875,133131.5902766
6.46875,133045.0484724
7.46875,132988.01210361
7.96875,132967.57986521
8.96875,132936.12573571
9.96875,132913.73377724
10.96875,132897.95137724
11.96875,132887.08785406
12.96875,132879.96886214
13.96875,132875.76300934
14.96875,132873.86823923
15.96875,132873.83857876
16.46875,132874.43939603
17.46875,132876.63145723
17.96875,132878.17889693
18.96875,132882.03120892
19.96875,132886.76773457
20,132886.92987731
